council_district,standardized_category,lat_bin_approx_100m,lon_bin_approx_100m,cluster_request_count,open_cluster_count,long_resolution_cluster_count,median_resolution_days
D,Water,29.673,-95.357,3,0,0,0.0622453703703703
D,Water,29.673,-95.352,3,0,0,1.5003703703703704
D,Water,29.675,-95.363,3,0,0,0.1553240740740741
D,Water,29.676,-95.35,3,1,0,0.045966435185185145
D,Water,29.677,-95.347,3,0,2,53.95608796296296
D,Water,29.661,-95.335,3,0,0,0.1647106481481481
F,Solid Waste / Recycling,29.694,-95.593,3,0,0,3.057233796296296
F,Solid Waste / Recycling,29.694,-95.589,3,2,0,4.199756944444444
F,Solid Waste / Recycling,29.694,-95.577,3,3,0,
B,Solid Waste / Recycling,29.873,-95.435,3,0,1,2.857083333333333
B,Solid Waste / Recycling,29.873,-95.42,3,1,0,5.9993692129629625
B,Solid Waste / Recycling,29.872,-95.297,3,1,0,
F,Solid Waste / Recycling,29.701,-95.617,3,1,1,20.472552083333333
F,Solid Waste / Recycling,29.701,-95.595,3,1,0,4.020931712962963
F,Solid Waste / Recycling,29.701,-95.583,3,1,1,11.08109375
F,Solid Waste / Recycling,29.696,-95.612,3,1,0,3.4805150462962966
F,Solid Waste / Recycling,29.696,-95.59,3,0,0,8.821354166666667
F,Solid Waste / Recycling,29.697,-95.61,3,0,1,1.801099537037037
F,Solid Waste / Recycling,29.697,-95.606,3,3,0,
F,Solid Waste / Recycling,29.697,-95.602,3,0,0,1.1735532407407407
F,Solid Waste / Recycling,29.698,-95.607,3,0,1,6.1153356481481485
F,Solid Waste / Recycling,29.698,-95.591,3,0,0,4.632395833333334
F,Solid Waste / Recycling,29.698,-95.589,3,0,1,4.896168981481481
F,Solid Waste / Recycling,29.698,-95.585,3,1,0,2.0138657407407403
F,Solid Waste / Recycling,29.694,-95.599,3,2,0,0.0866319444444444
D,Water,29.666,-95.335,3,0,0,0.7832754629629629
D,Water,29.669,-95.367,3,0,0,0.0802546296296296
B,Traffic Signals / Lighting,29.951,-95.332,3,0,0,0.0134722222222222
B,Traffic Signals / Lighting,29.951,-95.331,3,0,0,0.022662037037037
B,Traffic Signals / Lighting,29.957,-95.542,3,0,1,0.8472800925925926
B,Traffic Signals / Lighting,29.966,-95.54,3,1,0,1.020792824074074
B,Water,29.767,-95.269,3,1,0,6.17037037037037
B,Water,29.771,-95.317,3,0,0,0.1986342592592592
B,Water,29.774,-95.337,3,1,2,34.360729166666665
D,Water,29.662,-95.332,3,0,0,0.6459259259259259
D,Water,29.665,-95.335,3,0,0,0.0696064814814814
D,Water,29.624,-95.404,3,0,1,0.1693634259259259
F,Solid Waste / Recycling,29.699,-95.612,3,0,1,3.83724537037037
F,Solid Waste / Recycling,29.699,-95.608,3,3,0,
B,Solid Waste / Recycling,29.87,-95.427,3,1,2,70.43958333333333
B,Solid Waste / Recycling,29.87,-95.426,3,2,1,25.48199074074074
B,Solid Waste / Recycling,29.872,-95.436,3,1,2,45.979814814814816
B,Solid Waste / Recycling,29.872,-95.427,3,3,0,
F,Solid Waste / Recycling,29.712,-95.577,3,0,2,14.803993055555557
F,Solid Waste / Recycling,29.713,-95.608,3,0,1,1.6409953703703704
F,Solid Waste / Recycling,29.707,-95.575,3,1,0,4.959774305555555
F,Solid Waste / Recycling,29.707,-95.568,3,1,0,4.504762731481481
F,Solid Waste / Recycling,29.708,-95.578,3,0,2,63.581944444444446
F,Solid Waste / Recycling,29.709,-95.614,3,0,1,9.854670138888887
F,Solid Waste / Recycling,29.709,-95.613,3,0,0,4.290625
B,Solid Waste / Recycling,29.868,-95.446,3,0,2,20.983645833333334
B,Solid Waste / Recycling,29.868,-95.309,3,0,1,2.8308680555555554
B,Solid Waste / Recycling,29.868,-95.283,3,0,2,14.92417824074074
B,Solid Waste / Recycling,29.869,-95.449,3,1,1,14.786770833333332
B,Solid Waste / Recycling,29.869,-95.307,3,1,0,3.5927199074074077
B,Solid Waste / Recycling,29.87,-95.435,3,0,3,85.85289351851851
B,Solid Waste / Recycling,29.87,-95.432,3,1,1,34.86234375
F,Solid Waste / Recycling,29.709,-95.574,3,1,0,4.088298611111111
D,Water,29.662,-95.37,3,0,1,0.949375
D,Water,29.633,-95.361,3,0,0,0.7018865740740741
D,Water,29.635,-95.347,3,0,1,5.2178356481481485
D,Water,29.638,-95.402,3,0,0,1.323715277777778
D,Water,29.64,-95.404,3,0,0,0.0713425925925926
D,Water,29.64,-95.359,3,0,0,0.6830787037037037
D,Water,29.64,-95.328,3,1,0,0.4672280092592593
D,Water,29.653,-95.375,3,0,2,21.99079861111111
D,Water,29.657,-95.356,3,1,0,0.0492418981481481
D,Water,29.658,-95.351,3,0,1,0.9007060185185185
D,Water,29.66,-95.362,3,0,2,18.420590277777777
F,Solid Waste / Recycling,29.71,-95.591,3,3,0,
F,Solid Waste / Recycling,29.711,-95.58,3,0,0,3.810474537037037
F,Solid Waste / Recycling,29.711,-95.579,3,1,0,3.5417997685185183
F,Solid Waste / Recycling,29.711,-95.574,3,1,1,14.120520833333334
F,Solid Waste / Recycling,29.711,-95.573,3,1,0,2.3028125
F,Solid Waste / Recycling,29.712,-95.61,3,0,1,1.027650462962963
B,Solid Waste / Recycling,29.866,-95.442,3,1,1,69.91237847222223
B,Solid Waste / Recycling,29.866,-95.435,3,3,0,
F,Solid Waste / Recycling,29.714,-95.579,3,0,0,4.8813657407407405
F,Solid Waste / Recycling,29.714,-95.576,3,1,0,4.521168981481481
F,Solid Waste / Recycling,29.715,-95.574,3,1,0,3.9542592592592594
F,Solid Waste / Recycling,29.717,-95.622,3,1,0,9.434305555555557
F,Solid Waste / Recycling,29.718,-95.618,3,0,1,15.892962962962963
F,Solid Waste / Recycling,29.719,-95.622,3,1,1,9.79123263888889
F,Solid Waste / Recycling,29.719,-95.62,3,0,0,9.337766203703705
F,Solid Waste / Recycling,29.72,-95.62,3,0,0,4.620335648148148
F,Solid Waste / Recycling,29.721,-95.622,3,2,0,3.8533680555555554
F,Solid Waste / Recycling,29.722,-95.634,3,0,1,7.901296296296296
F,Solid Waste / Recycling,29.722,-95.612,3,2,0,6.623252314814815
F,Solid Waste / Recycling,29.709,-95.568,3,0,0,6.719131944444444
D,Water,29.626,-95.353,3,0,0,0.0661921296296296
D,Water,29.63,-95.372,3,0,0,0.734224537037037
B,Solid Waste / Recycling,29.867,-95.292,3,0,1,6.856539351851852
B,Solid Waste / Recycling,29.867,-95.29,3,0,3,128.02356481481482
B,Solid Waste / Recycling,29.867,-95.289,3,0,1,6.036828703703704
B,Solid Waste / Recycling,29.867,-95.28,3,0,1,7.032916666666667
F,Solid Waste / Recycling,29.729,-95.535,3,2,0,4.995277777777778
F,Solid Waste / Recycling,29.731,-95.614,3,0,0,10.043587962962963
F,Solid Waste / Recycling,29.731,-95.534,3,1,1,11.65175925925926
F,Solid Waste / Recycling,29.732,-95.611,3,2,0,0.0007638888888888
F,Solid Waste / Recycling,29.724,-95.536,3,2,1,44.75869212962963
F,Solid Waste / Recycling,29.726,-95.617,3,0,1,4.7756134259259255
F,Solid Waste / Recycling,29.727,-95.613,3,0,1,7.552094907407407
F,Solid Waste / Recycling,29.728,-95.612,3,0,1,12.904207175925926
F,Solid Waste / Recycling,29.728,-95.611,3,0,1,16.689560185185186
F,Solid Waste / Recycling,29.728,-95.532,3,0,2,15.141203703703704
F,Solid Waste / Recycling,29.729,-95.619,3,1,0,9.267465277777777
F,Solid Waste / Recycling,29.729,-95.612,3,1,1,45.799930555555555
D,Water,29.617,-95.396,3,0,0,0.0308333333333333
D,Water,29.618,-95.41,3,0,0,0.1111111111111111
D,Water,29.618,-95.396,3,0,0,0.027824074074074
D,Water,29.618,-95.392,3,0,0,0.0869212962962963
D,Water,29.618,-95.339,3,1,0,0.062505787037037
D,Water,29.618,-95.332,3,1,0,0.8969386574074074
D,Water,29.619,-95.411,3,0,0,0.1134837962962962
D,Water,29.619,-95.408,3,0,0,0.5268518518518519
D,Water,29.619,-95.395,3,0,0,0.0616203703703703
D,Water,29.62,-95.401,3,0,1,0.1171527777777777
D,Water,29.622,-95.418,3,0,0,0.142511574074074
B,Solid Waste / Recycling,29.866,-95.291,3,2,1,18.860613425925926
B,Solid Waste / Recycling,29.866,-95.289,3,0,0,0.6794560185185186
B,Solid Waste / Recycling,29.866,-95.28,3,0,1,7.699560185185185
B,Solid Waste / Recycling,29.866,-95.278,3,0,2,17.828055555555554
B,Solid Waste / Recycling,29.867,-95.294,3,1,0,6.1033333333333335
F,Solid Waste / Recycling,29.736,-95.532,3,2,0,1.4700694444444444
F,Traffic Signals / Lighting,29.671,-95.57,3,2,0,4.887337962962963
F,Traffic Signals / Lighting,29.688,-95.57,3,0,0,3.075486111111111
F,Solid Waste / Recycling,29.732,-95.532,3,1,2,18.06136574074074
F,Solid Waste / Recycling,29.732,-95.526,3,0,0,3.8132175925925926
F,Solid Waste / Recycling,29.732,-95.518,3,1,1,15.057708333333334
F,Solid Waste / Recycling,29.732,-95.515,3,0,1,1.3647685185185183
F,Solid Waste / Recycling,29.733,-95.612,3,0,0,11.872777777777776
F,Solid Waste / Recycling,29.733,-95.538,3,0,0,5.847002314814815
F,Solid Waste / Recycling,29.733,-95.534,3,0,1,13.233703703703702
F,Solid Waste / Recycling,29.734,-95.529,3,1,0,4.197766203703704
F,Solid Waste / Recycling,29.735,-95.612,3,1,0,9.725387731481481
F,Solid Waste / Recycling,29.735,-95.611,3,0,1,6.365347222222222
F,Solid Waste / Recycling,29.735,-95.588,3,0,0,0.744525462962963
F,Solid Waste / Recycling,29.735,-95.537,3,2,0,5.068402777777778
B,Solid Waste / Recycling,29.863,-95.278,3,0,2,70.76850694444444
B,Water,29.808,-95.322,3,0,0,0.0035879629629629
B,Water,29.809,-95.322,3,0,0,0.7573726851851852
B,Water,29.81,-95.317,3,1,1,12.30181712962963
B,Water,29.816,-95.313,3,0,0,0.6068287037037037
B,Water,29.817,-95.281,3,0,0,2.707175925925926
B,Water,29.84,-95.269,3,0,0,0.0658333333333333
D,Water,29.613,-95.306,3,1,0,0.8030960648148149
D,Water,29.614,-95.305,3,0,0,0.856550925925926
D,Traffic Signals / Lighting,29.747,-95.373,3,0,0,5.527054398148148
B,Solid Waste / Recycling,29.864,-95.298,3,0,0,5.978680555555556
B,Solid Waste / Recycling,29.865,-95.439,3,0,0,0.0504398148148148
B,Solid Waste / Recycling,29.865,-95.436,3,1,1,11.853234953703703
B,Solid Waste / Recycling,29.865,-95.307,3,0,1,11.41265625
B,Solid Waste / Recycling,29.865,-95.305,3,2,0,11.593541666666669
B,Solid Waste / Recycling,29.865,-95.301,3,0,1,7.831886574074074
B,Solid Waste / Recycling,29.865,-95.295,3,2,0,
B,Solid Waste / Recycling,29.86,-95.284,3,1,0,6.6296643518518525
B,Solid Waste / Recycling,29.86,-95.279,3,0,2,32.82918981481482
B,Solid Waste / Recycling,29.861,-95.447,3,2,0,5.032430555555556
F,Traffic Signals / Lighting,29.729,-95.635,3,0,0,8.632430555555555
F,Traffic Signals / Lighting,29.704,-95.596,3,0,2,20.018402777777776
F,Traffic Signals / Lighting,29.704,-95.568,3,0,0,0.029502314814814752
B,Solid Waste / Recycling,29.862,-95.416,3,0,0,6.350740740740741
B,Solid Waste / Recycling,29.863,-95.442,3,0,2,19.27074074074074
B,Solid Waste / Recycling,29.863,-95.421,3,1,0,0.8574421296296296
B,Solid Waste / Recycling,29.863,-95.418,3,2,0,1.3089814814814815
B,Solid Waste / Recycling,29.863,-95.362,3,0,1,17.677494212962962
B,Solid Waste / Recycling,29.863,-95.308,3,1,1,64.09725694444445
B,Solid Waste / Recycling,29.863,-95.302,3,0,0,7.048946759259259
F,Traffic Signals / Lighting,29.712,-95.577,3,2,1,34.15013888888889
B,Solid Waste / Recycling,29.864,-95.301,3,0,1,21.326689814814813
B,Water,29.793,-95.323,3,0,0,0.5927083333333333
F,Water,29.654,-95.58,3,0,1,0.2053472222222222
F,Water,29.66,-95.574,3,0,0,0.7849594907407407
F,Water,29.661,-95.599,3,0,0,0.2334722222222222
F,Water,29.661,-95.598,3,0,0,0.1667013888888888
F,Water,29.662,-95.598,3,0,0,0.0378703703703703
B,Solid Waste / Recycling,29.858,-95.29,3,0,1,31.79560763888889
B,Solid Waste / Recycling,29.858,-95.288,3,0,2,18.796064814814816
B,Solid Waste / Recycling,29.858,-95.261,3,0,2,25.34716435185185
F,Traffic Signals / Lighting,29.716,-95.571,3,0,0,0.2777662037037037
F,Traffic Signals / Lighting,29.721,-95.624,3,0,1,5.877858796296296
F,Traffic Signals / Lighting,29.724,-95.605,3,1,0,0.6243055555555556
F,Traffic Signals / Lighting,29.724,-95.525,3,0,1,1.9234953703703703
F,Traffic Signals / Lighting,29.726,-95.501,3,0,0,1.133541666666667
B,Solid Waste / Recycling,29.86,-95.308,3,0,1,5.086666666666667
B,Solid Waste / Recycling,29.86,-95.305,3,1,1,33.65738425925926
B,Solid Waste / Recycling,29.86,-95.296,3,1,0,7.055850694444445
D,Water,29.589,-95.192,3,0,0,0.1101851851851851
D,Water,29.59,-95.202,3,1,0,0.0463310185185185
D,Water,29.59,-95.195,3,2,0,1.006597222222222
D,Water,29.59,-95.192,3,0,2,22.053981481481483
D,Water,29.593,-95.22,3,1,0,0.039542824074074
D,Water,29.604,-95.31,3,0,0,0.0673958333333333
B,Water,29.778,-95.342,3,0,2,36.77601851851852
B,Water,29.778,-95.332,3,0,1,0.1141087962962962
D,Traffic Signals / Lighting,29.719,-95.353,3,0,0,0.1953356481481481
F,Traffic Signals / Lighting,29.732,-95.501,3,1,0,2.19125
F,Traffic Signals / Lighting,29.735,-95.506,3,0,1,4.947233796296296
F,Traffic Signals / Lighting,29.735,-95.501,3,0,0,0.9198495370370372
F,Traffic Signals / Lighting,29.736,-95.64,3,0,0,1.8878240740740744
F,Traffic Signals / Lighting,29.736,-95.614,3,1,0,3.7797743055555557
F,Traffic Signals / Lighting,29.737,-95.572,3,1,1,29.051608796296296
F,Traffic Signals / Lighting,29.737,-95.515,3,1,0,0.49929398148148146
D,Traffic Signals / Lighting,29.726,-95.371,3,0,0,1.1086921296296297
D,Traffic Signals / Lighting,29.739,-95.378,3,0,0,0.6298032407407408
D,Traffic Signals / Lighting,29.742,-95.359,3,0,0,0.9139236111111112
D,Traffic Signals / Lighting,29.744,-95.377,3,0,1,7.084976851851851
B,Water,29.878,-95.293,3,1,0,0.1213831018518518
B,Solid Waste / Recycling,29.859,-95.429,3,0,0,11.68835648148148
B,Solid Waste / Recycling,29.859,-95.305,3,2,0,0.5237962962962963
B,Solid Waste / Recycling,29.859,-95.287,3,0,2,28.813819444444444
B,Solid Waste / Recycling,29.86,-95.444,3,0,2,19.167905092592594
F,Water,29.665,-95.606,3,0,0,0.3636805555555555
F,Water,29.665,-95.599,3,0,0,1.0674305555555557
F,Water,29.665,-95.597,3,0,1,1.037662037037037
F,Water,29.665,-95.59,3,0,0,0.5579513888888888
D,Water,29.585,-95.199,3,1,1,19.639380787037034
D,Water,29.587,-95.193,3,1,0,5.777500000000001
D,Water,29.588,-95.194,3,1,1,25.56637152777778
F,Water,29.697,-95.607,3,0,0,0.6303009259259259
F,Water,29.698,-95.616,3,0,0,0.6086921296296296
F,Water,29.668,-95.606,3,1,1,7.642320601851851
F,Water,29.669,-95.603,3,0,0,0.8636458333333333
F,Water,29.677,-95.582,3,1,0,1.3614756944444446
F,Water,29.679,-95.582,3,0,0,0.6682986111111111
F,Water,29.68,-95.58,3,0,0,0.0984143518518518
F,Water,29.683,-95.599,3,0,2,19.102835648148147
F,Water,29.685,-95.599,3,0,0,0.0455439814814814
F,Water,29.685,-95.598,3,0,0,0.0589930555555555
F,Water,29.689,-95.596,3,1,0,0.2008854166666666
F,Water,29.69,-95.603,3,0,0,0.1470717592592592
F,Water,29.69,-95.601,3,1,0,0.15554398148148146
D,Traffic Signals / Lighting,29.721,-95.352,3,0,0,0.275636574074074
D,Traffic Signals / Lighting,29.723,-95.378,3,1,0,0.2018344907407407
D,Traffic Signals / Lighting,29.724,-95.39,3,0,0,1.717523148148148
D,Traffic Signals / Lighting,29.71,-95.341,3,0,1,0.812511574074074
D,Traffic Signals / Lighting,29.711,-95.401,3,0,0,0.0013773148148148
D,Traffic Signals / Lighting,29.712,-95.379,3,0,0,0.337824074074074
D,Traffic Signals / Lighting,29.712,-95.378,3,0,0,0.0423263888888888
D,Traffic Signals / Lighting,29.715,-95.396,3,0,0,0.1980324074074074
D,Traffic Signals / Lighting,29.717,-95.354,3,0,0,0.2780208333333333
D,Traffic Signals / Lighting,29.658,-95.388,3,2,1,15.240729166666666
F,Water,29.692,-95.573,3,1,0,0.5640914351851851
F,Water,29.692,-95.572,3,0,1,0.6799652777777778
F,Water,29.693,-95.616,3,0,1,0.0406134259259259
F,Water,29.693,-95.608,3,1,0,0.8809143518518519
F,Water,29.693,-95.602,3,0,0,0.0806944444444444
F,Water,29.693,-95.596,3,0,0,0.0369791666666666
F,Water,29.694,-95.611,3,0,0,0.2863078703703703
F,Water,29.694,-95.6,3,0,0,0.0547916666666666
F,Water,29.696,-95.611,3,1,0,2.7282060185185184
F,Water,29.699,-95.617,3,0,0,0.5934143518518519
F,Water,29.699,-95.568,3,0,0,0.2211342592592592
F,Water,29.699,-95.565,3,1,0,0.2715509259259259
F,Water,29.7,-95.618,3,0,0,0.7540162037037037
F,Water,29.7,-95.599,3,0,1,1.797951388888889
F,Water,29.701,-95.616,3,0,0,0.0377893518518518
F,Water,29.702,-95.618,3,1,0,0.38317708333333333
F,Water,29.702,-95.614,3,0,0,0.9170138888888888
F,Water,29.704,-95.558,3,0,0,1.931226851851852
F,Water,29.705,-95.584,3,0,2,20.890300925925924
F,Water,29.708,-95.588,3,0,0,0.6486689814814814
F,Water,29.708,-95.587,3,0,0,0.065787037037037
F,Water,29.692,-95.598,3,0,0,0.0894907407407407
D,Traffic Signals / Lighting,29.692,-95.399,3,1,0,3.5472164351851854
D,Traffic Signals / Lighting,29.702,-95.372,3,0,1,7.656203703703704
D,Traffic Signals / Lighting,29.706,-95.385,3,0,0,1.581412037037037
F,Water,29.725,-95.593,3,1,0,2.0145428240740744
B,Solid Waste / Recycling,29.857,-95.297,3,0,0,7.815393518518518
B,Solid Waste / Recycling,29.857,-95.289,3,1,1,12.819994212962964
F,Water,29.712,-95.609,3,0,1,13.579965277777776
F,Water,29.712,-95.581,3,0,0,0.0934722222222222
F,Water,29.714,-95.556,3,1,0,2.7944155092592595
F,Water,29.717,-95.621,3,0,0,0.0817361111111111
F,Water,29.718,-95.619,3,0,0,0.1853587962962962
F,Water,29.718,-95.617,3,1,0,0.05931134259259255
F,Water,29.72,-95.624,3,0,0,3.640625
F,Water,29.72,-95.62,3,0,0,0.1686111111111111
F,Water,29.72,-95.619,3,0,0,2.178726851851852
F,Water,29.721,-95.622,3,0,0,0.1175810185185185
F,Water,29.722,-95.612,3,0,0,0.0795023148148148
F,Water,29.722,-95.611,3,0,0,0.2838888888888889
F,Water,29.723,-95.615,3,0,0,0.2217361111111111
D,Traffic Signals / Lighting,29.679,-95.367,3,2,0,
D,Traffic Signals / Lighting,29.683,-95.356,3,1,0,1.0229050925925924
D,Traffic Signals / Lighting,29.685,-95.341,3,0,0,0.0823611111111111
B,Water,29.842,-95.257,3,0,0,0.0035532407407407
B,Water,29.856,-95.251,3,0,0,2.897650462962963
B,Water,29.858,-95.261,3,0,0,0.0493981481481481
B,Water,29.868,-95.312,3,1,1,45.644710648148155
B,Water,29.868,-95.289,3,0,0,0.0873842592592592
B,Water,29.872,-95.311,3,0,0,1.6054398148148148
B,Water,29.878,-95.295,3,0,0,0.6576041666666667
D,Traffic Signals / Lighting,29.616,-95.368,3,0,0,0.0610763888888888
F,Water,29.723,-95.594,3,2,0,2.161203703703704
F,Water,29.724,-95.621,3,1,0,0.931730324074074
F,Water,29.724,-95.613,3,0,0,0.373125
F,Water,29.724,-95.597,3,0,0,1.142037037037037
F,Water,29.724,-95.593,3,1,0,2.317204861111111
G,Road / Pothole / Bridge,29.733,-95.458,3,2,0,0.7657986111111111
G,Road / Pothole / Bridge,29.736,-95.606,3,1,1,21.287789351851853
G,Road / Pothole / Bridge,29.738,-95.501,3,1,1,28.138738425925926
G,Road / Pothole / Bridge,29.739,-95.619,3,1,0,7.9465914351851845
G,Road / Pothole / Bridge,29.742,-95.485,3,0,0,0.7126851851851852
G,Road / Pothole / Bridge,29.744,-95.539,3,0,1,2.4525925925925924
B,Solid Waste / Recycling,29.858,-95.443,3,0,0,7.310266203703704
B,Solid Waste / Recycling,29.858,-95.442,3,1,1,124.91408564814814
B,Solid Waste / Recycling,29.858,-95.441,3,2,1,31.74041666666667
B,Solid Waste / Recycling,29.858,-95.434,3,3,0,
B,Solid Waste / Recycling,29.858,-95.3,3,1,0,7.440671296296296
F,Water,29.728,-95.618,3,0,0,0.8191203703703703
F,Water,29.73,-95.654,3,1,0,0.9703761574074075
F,Water,29.731,-95.621,3,0,0,0.0858449074074074
F,Water,29.723,-95.612,3,1,0,0.11671296296296291
D,Traffic Signals / Lighting,29.668,-95.384,3,0,0,0.7561574074074074
D,Traffic Signals / Lighting,29.642,-95.335,3,0,1,3.886180555555556
B,Water,29.912,-95.481,3,0,0,0.1539467592592592
B,Water,29.937,-95.314,3,0,0,0.1896643518518518
B,Water,29.942,-95.407,3,0,0,0.8298032407407407
B,Water,29.945,-95.331,3,0,0,2.3063310185185184
B,Water,29.956,-95.541,3,1,0,0.0815104166666666
B,Water,29.96,-95.545,3,0,2,51.14109953703704
B,Water,29.963,-95.561,3,0,0,0.1376736111111111
D,Traffic Signals / Lighting,29.649,-95.349,3,0,0,2.4035532407407407
D,Solid Waste / Recycling,29.743,-95.366,3,0,0,3.992638888888889
F,Water,29.732,-95.514,3,0,0,0.7858680555555555
F,Water,29.734,-95.527,3,0,0,1.1947685185185186
F,Water,29.735,-95.606,3,0,0,0.1252083333333333
G,Drainage / Flooding,29.743,-95.434,3,0,0,0.0837731481481481
G,Drainage / Flooding,29.776,-95.537,3,0,1,15.012766203703702
G,Road / Pothole / Bridge,29.731,-95.467,3,0,1,3.2922337962962964
G,Road / Pothole / Bridge,29.769,-95.623,3,1,0,4.15550925925926
G,Road / Pothole / Bridge,29.77,-95.478,3,0,0,6.7931944444444445
G,Road / Pothole / Bridge,29.778,-95.551,3,0,1,6.7625925925925925
B,Solid Waste / Recycling,29.856,-95.417,3,1,0,6.788616898148149
B,Solid Waste / Recycling,29.856,-95.281,3,1,0,9.878090277777778
B,Solid Waste / Recycling,29.856,-95.272,3,0,2,16.4028125
B,Solid Waste / Recycling,29.856,-95.254,3,0,2,14.07273148148148
B,Solid Waste / Recycling,29.857,-95.46,3,1,0,5.031082175925926
B,Solid Waste / Recycling,29.857,-95.455,3,0,1,2.9201157407407408
B,Solid Waste / Recycling,29.857,-95.429,3,1,1,21.061099537037038
G,Road / Pothole / Bridge,29.746,-95.488,3,0,0,1.0028935185185186
G,Road / Pothole / Bridge,29.746,-95.437,3,0,0,0.8964872685185185
G,Road / Pothole / Bridge,29.747,-95.607,3,0,0,1.2617708333333333
D,Traffic Signals / Lighting,29.625,-95.347,3,0,1,5.643148148148148
D,Traffic Signals / Lighting,29.629,-95.344,3,0,1,9.536961805555556
D,Traffic Signals / Lighting,29.632,-95.358,3,0,0,0.5102951388888889
B,Water,29.968,-95.543,3,1,0,0.4523900462962963
C,Drainage / Flooding,29.733,-95.407,3,1,0,3.4201099537037036
C,Drainage / Flooding,29.742,-95.398,3,0,1,9.045081018518518
C,Drainage / Flooding,29.767,-95.42,3,0,1,17.74080439814815
C,Drainage / Flooding,29.774,-95.404,3,1,2,41.31313078703704
C,Drainage / Flooding,29.779,-95.423,3,0,0,6.782604166666666
C,Drainage / Flooding,29.781,-95.428,3,3,0,
C,Drainage / Flooding,29.791,-95.403,3,0,2,88.99792824074073
C,Drainage / Flooding,29.809,-95.407,3,0,1,24.191614583333333
G,Road / Pothole / Bridge,29.748,-95.57,3,1,0,1.0994270833333333
G,Road / Pothole / Bridge,29.748,-95.538,3,3,0,
G,Road / Pothole / Bridge,29.748,-95.457,3,0,0,1.5183449074074074
G,Road / Pothole / Bridge,29.752,-95.583,3,0,0,1.1683217592592592
G,Road / Pothole / Bridge,29.754,-95.49,3,0,0,1.2124768518518518
G,Road / Pothole / Bridge,29.758,-95.618,3,0,0,2.4324421296296297
G,Road / Pothole / Bridge,29.758,-95.56,3,0,0,3.2216203703703705
B,Solid Waste / Recycling,29.854,-95.27,3,0,2,31.69880787037037
B,Solid Waste / Recycling,29.854,-95.269,3,0,2,30.828454861111112
G,Solid Waste / Recycling,29.739,-95.457,3,0,1,7.442222222222222
G,Solid Waste / Recycling,29.739,-95.447,3,0,0,5.096157407407407
G,Solid Waste / Recycling,29.742,-95.584,3,0,2,68.30281828703704
G,Solid Waste / Recycling,29.742,-95.583,3,0,2,33.09902777777778
G,Sewer / Wastewater,29.74,-95.457,3,1,0,4.618333333333333
G,Sewer / Wastewater,29.743,-95.564,3,0,0,0.8920138888888889
G,Sewer / Wastewater,29.745,-95.504,3,1,0,0.1969270833333333
B,Solid Waste / Recycling,29.855,-95.433,3,2,0,3.447986111111111
G,Sewer / Wastewater,29.747,-95.414,3,2,0,0.0976851851851851
G,Sewer / Wastewater,29.748,-95.581,3,0,1,0.1557291666666666
G,Sewer / Wastewater,29.751,-95.484,3,0,0,0.6973148148148148
G,Road / Pothole / Bridge,29.747,-95.415,3,0,1,1.1923032407407408
D,Solid Waste / Recycling,29.746,-95.38,3,2,1,27.979502314814816
B,Water,29.967,-95.295,3,0,0,2.77119212962963
C,Drainage / Flooding,29.831,-95.466,3,1,0,1.2126851851851854
C,Road / Pothole / Bridge,29.689,-95.489,3,1,0,1.4179629629629633
C,Road / Pothole / Bridge,29.706,-95.423,3,0,0,0.7681944444444444
C,Road / Pothole / Bridge,29.706,-95.418,3,0,0,1.2863194444444443
C,Road / Pothole / Bridge,29.706,-95.411,3,1,0,1.2777256944444444
C,Road / Pothole / Bridge,29.711,-95.403,3,1,1,55.09
C,Road / Pothole / Bridge,29.712,-95.407,3,0,0,2.120318287037037
D,Solid Waste / Recycling,29.741,-95.36,3,0,1,3.003136574074074
D,Solid Waste / Recycling,29.742,-95.368,3,0,2,20.698171296296294
D,Solid Waste / Recycling,29.743,-95.367,3,0,0,1.1616782407407409
D,Solid Waste / Recycling,29.735,-95.358,3,0,2,44.06582175925926
G,Solid Waste / Recycling,29.736,-95.449,3,1,0,6.212482638888889
G,Solid Waste / Recycling,29.738,-95.445,3,0,2,71.9437962962963
G,Solid Waste / Recycling,29.739,-95.567,3,0,0,2.0459953703703704
B,Solid Waste / Recycling,29.854,-95.288,3,0,1,3.8392824074074072
B,Solid Waste / Recycling,29.854,-95.272,3,0,3,21.06672453703704
D,Solid Waste / Recycling,29.739,-95.361,3,0,2,54.50675925925926
D,Solid Waste / Recycling,29.74,-95.357,3,1,1,11.333628472222221
C,Drainage / Flooding,29.801,-95.393,3,0,0,2.410138888888889
C,Drainage / Flooding,29.803,-95.44,3,2,0,0.0201736111111111
C,Drainage / Flooding,29.809,-95.428,3,2,0,3.912615740740741
D,Solid Waste / Recycling,29.734,-95.351,3,1,0,8.51212962962963
G,Solid Waste / Recycling,29.743,-95.613,3,0,1,34.90708333333333
G,Solid Waste / Recycling,29.743,-95.583,3,2,1,33.8609375
G,Solid Waste / Recycling,29.743,-95.573,3,1,1,7.382083333333333
G,Solid Waste / Recycling,29.744,-95.612,3,1,1,51.13431712962963
G,Solid Waste / Recycling,29.744,-95.581,3,1,1,26.62559027777778
G,Solid Waste / Recycling,29.744,-95.47,3,2,0,4.780162037037037
G,Solid Waste / Recycling,29.744,-95.415,3,0,0,12.01681712962963
